iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
224,0.067943,3031,2970,61,0.0,Não,Substituição em PL3: 'Me Porto Bonito' → 'Convaleciente',3031
225,0.067943,3031,2978,53,0.0,Não,Substituição em PL1: 'Levels - Radio Edit' → 'Big Mountain',3031
226,0.067943,3031,3031,0,1.0,Sim,Troca inter-playlist: 'Selfish' (PL4) ↔ 'La Bachata' (PL2),3031
227,0.067943,3031,2984,47,0.0,Não,Substituição em PL4: 'Neverita' → 'Brilhe',3031
228,0.067943,3031,3060,-29,1.0,Sim,Substituição em PL2: 'The Wheels on the Bus' → 'Disconnected',3031
229,0.067943,3060,2996,64,0.0,Não,Substituição em PL4: 'La Bachata' → 'Paralyzed',3060
230,0.067943,3060,3029,31,0.0,Não,Substituição em PL2: 'attached' → 'Accanto A Te',3060
231,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'Unholy (feat. Kim Petras)' (PL2) ↔ 'I Ain't Worried' (PL4),3060
232,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'I'm Good (Blue)' (PL2) ↔ 'La Bachata' (PL4),3060
233,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'As It Was' (PL4) ↔ 'La Bachata' (PL2),3060
234,0.067943,3060,3022,38,0.0,Não,Substituição em PL2: 'I Ain't Worried' → 'Say To Me',3060
235,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'Moonlight' (PL4) ↔ 'Disconnected' (PL2),3060
236,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'attached' (PL2) ↔ 'Glimpse of Us' (PL4),3060
237,0.067943,3060,3012,48,0.0,Não,Substituição em PL3: 'Me Porto Bonito' → 'RAREST SHXT.',3060
238,0.067943,3060,2994,66,0.0,Não,Substituição em PL4: 'Unholy (feat. Kim Petras)' → 'Blue Dream (Softly)',3060
239,0.067943,3060,3037,23,0.0,Não,Substituição em PL2: 'Transgender' → 'Illuminate - Sub Focus & Wilkinson',3060
240,0.067943,3060,3060,0,1.0,Sim,Troca inter-playlist: 'The Garbage Truck Song' (PL2) ↔ 'Super Freaky Girl' (PL4),3060
241,0.020383,3060,3060,0,1.0,Sim,Troca inter-playlist: 'Neverita' (PL4) ↔ 'Super Freaky Girl' (PL2),3060
242,0.020383,3060,3060,0,1.0,Sim,Troca inter-playlist: 'Neverita' (PL2) ↔ 'I'm Good (Blue)' (PL4),3060
243,0.020383,3060,3014,46,0.0,Não,Substituição em PL4: 'Mad Love' → 'Fan Foar Nei Achter',3060
244,0.020383,3060,3001,59,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Rick James Style',3060
245,0.020383,3060,3060,0,1.0,Sim,Troca inter-playlist: 'I Ain't Worried' (PL2) ↔ 'Unholy (feat. Kim Petras)' (PL4),3060
246,0.020383,3060,3019,41,0.0,Não,Substituição em PL2: 'Hands Up - Single Version' → 'Music Made Addict - Headhunterz & Wildstylez Remix (Radio Edit)',3060
247,0.020383,3060,3060,0,1.0,Sim,Troca inter-playlist: 'As It Was' (PL2) ↔ 'Neverita' (PL4),3060
248,0.020383,3060,3061,-1,1.0,Sim,Substituição em PL4: 'Mad Love' → 'The Eve',3060
249,0.020383,3061,3042,19,0.0,Não,Substituição em PL2: 'Moonlight' → 'Driller Killer',3061
250,0.020383,3061,2992,69,0.0,Não,Substituição em PL4: 'As It Was' → 'High Way',3061
251,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Glimpse of Us' (PL2) ↔ 'As It Was' (PL4),3061
252,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL2) ↔ 'attached' (PL4),3061
253,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Me Porto Bonito' (PL3) ↔ 'The Eve' (PL4),3061
254,0.020383,3061,2995,66,0.0,Não,Substituição em PL1: 'Shootout' → 'Strike',3061
255,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Glimpse of Us' (PL4) ↔ 'Sweater Weather' (PL2),3061
256,0.020383,3061,3023,38,0.0,Não,Substituição em PL2: 'Dancing' → 'Come See Me',3061
257,0.020383,3061,3061,0,1.0,Sim,Troca inter-playlist: 'Super Freaky Girl' (PL4) ↔ 'As It Was' (PL2),3061
