iteracao,temperatura,f_atual,f_vizinho,delta,prob_aceitacao,aceite,movimento,melhor_ate_agora
117,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL1) ↔ 'Low of Solipsism' (PL4),2925
118,0.75492,2925,2924,1,0.265898,Não,Substituição em PL4: 'Los Tres De Zacatecas' → 'Galanteador',2925
119,0.75492,2925,2855,70,0.0,Não,Substituição em PL4: 'La Bachata' → 'La Basurita',2925
120,0.75492,2925,2925,0,1.0,Sim,Troca inter-playlist: 'As It Was' (PL2) ↔ 'I Ain't Worried' (PL4),2925
121,0.75492,2925,2931,-6,1.0,Sim,Substituição em PL4: 'Las Frutas' → 'Pueden Decir - Balada',2925
122,0.75492,2931,2931,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL1) ↔ 'Transgender' (PL2),2931
123,0.75492,2931,2875,56,0.0,Não,Substituição em PL2: 'Another Love' → 'Quanto Custa?',2931
124,0.75492,2931,2897,34,0.0,Não,"Substituição em PL4: 'Pueden Decir - Balada' → 'Something About You - 7"" Version'",2931
125,0.75492,2931,2877,54,0.0,Não,Substituição em PL4: 'La Bachata' → 'Pidit - Love Story Part 2',2931
126,0.75492,2931,2934,-3,1.0,Sim,Substituição em PL4: 'Pueden Decir - Balada' → 'Moonlight',2931
127,0.75492,2934,2934,0,1.0,Sim,Troca inter-playlist: 'The Garbage Truck Song' (PL2) ↔ 'Moonlight' (PL4),2934
128,0.75492,2934,2934,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL1) ↔ 'Through My Fingers' (PL4),2934
129,0.75492,2934,2934,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL4) ↔ 'Sunsetz' (PL1),2934
130,0.75492,2934,2934,0,1.0,Sim,Troca inter-playlist: 'i was all over her' (PL4) ↔ 'Winter Bear' (PL1),2934
131,0.75492,2934,2936,-2,1.0,Sim,Substituição em PL1: 'Through My Fingers' → 'Lumartes',2934
132,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'Hands Up - Single Version' (PL2) ↔ 'Super Freaky Girl' (PL4),2936
133,0.75492,2936,2838,98,0.0,Não,Substituição em PL2: 'I'm Good (Blue)' → 'Mamma Maria',2936
134,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL2) ↔ 'Transgender' (PL1),2936
135,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'The Garbage Truck Song' (PL4) ↔ 'I Ain't Worried' (PL2),2936
136,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'Neverita' (PL4) ↔ 'Unholy (feat. Kim Petras)' (PL2),2936
137,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL4) ↔ 'Ce que tu ne sais pas' (PL3),2936
138,0.75492,2936,2936,0,1.0,Sim,Substituição em PL4: 'Winter Bear' → 'Born Yesterday',2936
139,0.75492,2936,2877,59,0.0,Não,"Substituição em PL2: 'Quevedo: Bzrp Music Sessions, Vol. 52' → 'A Paz do Teu Sorriso - Ao Vivo'",2936
140,0.75492,2936,2889,47,0.0,Não,Substituição em PL2: 'Another Love' → 'The Warriors',2936
141,0.75492,2936,2936,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL1) ↔ 'Sunsetz' (PL4),2936
142,0.75492,2936,2896,40,0.0,Não,Substituição em PL4: 'Levels - Radio Edit' → 'Şansin Bol Olsun',2936
143,0.75492,2936,2986,-50,1.0,Sim,Substituição em PL4: 'Ce que tu ne sais pas' → 'La Curiosidad',2936
144,0.75492,2986,2986,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL4) ↔ 'Lumartes' (PL1),2986
145,0.75492,2986,2916,70,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Splish Splash',2986
146,0.75492,2986,3009,-23,1.0,Sim,Substituição em PL4: 'Born Yesterday' → 'Dancing',2986
147,0.75492,3009,2976,33,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Canción para mañana',3009
148,0.75492,3009,2948,61,0.0,Não,Substituição em PL1: 'K.' → 'Don't Kill Me',3009
149,0.75492,3009,2948,61,0.0,Não,Substituição em PL1: 'Shootout' → 'Cross of Fire',3009
150,0.75492,3009,2927,82,0.0,Não,Substituição em PL2: 'Another Love' → 'Ding Dong The Witch Is Dead',3009
151,0.226476,3009,3009,0,1.0,Sim,"Troca inter-playlist: 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL2) ↔ 'As It Was' (PL4)",3009
152,0.226476,3009,3009,0,1.0,Sim,Troca inter-playlist: 'Levels - Radio Edit' (PL1) ↔ 'Transgender' (PL2),3009
153,0.226476,3009,2994,15,0.0,Não,Substituição em PL2: 'Moonlight' → 'Wie du (Reprise)',3009
154,0.226476,3009,2965,44,0.0,Não,Substituição em PL4: 'Unholy (feat. Kim Petras)' → 'No One Like You',3009
155,0.226476,3009,2967,42,0.0,Não,"Substituição em PL4: 'Sweater Weather' → 'This Is Me - Dave Audé Remix; from ""The Greatest Showman""'",3009
156,0.226476,3009,2927,82,0.0,Não,Substituição em PL3: 'Alien Blues' → 'Fever',3009
157,0.226476,3009,2948,61,0.0,Não,Substituição em PL2: 'Glimpse of Us' → 'El Caiman (Se Va El Caiman)',3009
158,0.226476,3009,3009,0,1.0,Sim,Troca inter-playlist: 'Transgender' (PL1) ↔ 'Levels - Radio Edit' (PL2),3009
159,0.226476,3009,3009,0,1.0,Sim,Troca inter-playlist: 'attached' (PL2) ↔ 'Sweater Weather' (PL4),3009
160,0.226476,3009,2999,10,0.0,Não,Substituição em PL4: 'La Curiosidad' → 'Ruff Ryders' Anthem',3009
161,0.226476,3009,2993,16,0.0,Não,Substituição em PL1: 'A los Que Se Han Apagado' → 'Growing Meat',3009
162,0.226476,3009,3009,0,1.0,Sim,Troca inter-playlist: 'attached' (PL4) ↔ 'Another Love' (PL2),3009
163,0.226476,3009,2989,20,0.0,Não,Substituição em PL3: 'Alien Blues' → '死神',3009
164,0.226476,3009,3009,0,1.0,Sim,Troca inter-playlist: 'Alien Blues' (PL3) ↔ 'Low of Solipsism' (PL1),3009
165,0.226476,3009,2940,69,0.0,Não,"Substituição em PL2: 'I'm Good (Blue)' → 'Dom, Lomp & Mellow - DJ Danjgo Mash-Up'",3009
166,0.226476,3009,2978,31,0.0,Não,Substituição em PL2: 'The Garbage Truck Song' → 'COLD HEART',3009
167,0.226476,3009,3029,-20,1.0,Sim,Substituição em PL3: 'Low of Solipsism' → 'Mad Love',3009
168,0.226476,3029,2985,44,0.0,Não,"Substituição em PL4: 'Quevedo: Bzrp Music Sessions, Vol. 52' → 'Roll Over Beethoven - Remastered 2009'",3029
169,0.226476,3029,2936,93,0.0,Não,Substituição em PL4: 'Another Love' → 'Ángel Para Un Final',3029
170,0.226476,3029,2953,76,0.0,Não,Substituição em PL4: 'Another Love' → 'Caminito - Remastered',3029
171,0.226476,3029,3029,0,1.0,Sim,Troca inter-playlist: 'Hands Up - Single Version' (PL4) ↔ 'Mad Love' (PL3),3029
172,0.226476,3029,3031,-2,1.0,Sim,Substituição em PL4: 'Lumartes' → 'The Wheels on the Bus',3029
173,0.226476,3031,3031,0,1.0,Sim,"Troca inter-playlist: 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL4) ↔ 'I'm Good (Blue)' (PL2)",3031
174,0.226476,3031,3031,0,1.0,Sim,"Troca inter-playlist: 'Hands Up - Single Version' (PL3) ↔ 'Quevedo: Bzrp Music Sessions, Vol. 52' (PL2)",3031
175,0.226476,3031,3031,0,1.0,Sim,Troca inter-playlist: 'As It Was' (PL2) ↔ 'I Ain't Worried' (PL4),3031
